CItr+11887	1937
CItr+12156	Jan-1941
CItr+12170	Jan-1941
CItr+12171	Jan-1941
CItr+12302	20-Mar-1943
CItr+12345	06-Jan-1944
CItr+12691	03-Jan-1950
CItr+12782	1950
CItr+12814	1947
CItr+12835	1950
CItr+12881	1950
CItr+13777	12-Mar-1963
CItr+13953	1965
CItr+14246	Jun-1968
CItr+14321	Jun-1968
CItr+14346	Jun-1968
CItr+14353	Jun-1968
CItr+14362	Jun-1968
CItr+14371	Jun-1968
CItr+14392	Jun-1968
CItr+14400	Jun-1968
CItr+14976	1970
CItr+15088	01-Mar-1971
CItr+15090	19-Feb-1971
CItr+15135	03-Mar-1971
CItr+15136	03-Mar-1971
CItr+15172	04-Mar-1971
CItr+15212	Mar-1971
CItr+15382	Jul-1972
CItr+15397	Jul-1972
CItr+15478	Jul-1972
CItr+15522	Jul-1972
CItr+15560	Jul-1972
CItr+15634	Aug-1972
CItr+15835	Aug-1972
CItr+15850	Aug-1972
CItr+17750	14-Feb-1978
CItr+17756	14-Feb-1978
CItr+17943	24-Jul-1981
CItr+3008	1906
CItr+8429	1926
CItr+8432	1926
CItr+8440	1926
CItr+8625	1926
PI+103833	Oct-1933
PI+104138	Jan-1934
PI+106202	Aug-1934
PI+107608	Dec-1934
PI+113489	Dec-1935
PI+113916	03-Feb-1936
PI+116329	05-Jun-1936
PI+117517	28-Aug-1936
PI+117752	03-Sep-1936
PI+117757	03-Sep-1936
PI+117758	03-Sep-1936
PI+117775	03-Sep-1936
PI+124739	06-Aug-1937
PI+124847	18-Aug-1937
PI+126822	01-Feb-1938
PI+129518	18-Jun-1938
PI+130645	12-Oct-1938
PI+130647	12-Oct-1938
PI+131268	04-Jan-1939
PI+131273	04-Jan-1939
PI+131401	20-Jan-1939
PI+132854	08-May-1939
PI+134337	12-Oct-1939
PI+134348	12-Oct-1939
PI+145724	Feb-1943
PI+153786	20-Mar-1946
PI+154279	17-Apr-1946
PI+155264	Jul-1946
PI+155269	Jul-1946
PI+155272	Jul-1946
PI+155280	Jul-1946
PI+157902	Mar-1947
PI+157905	Mar-1947
PI+158409	07-Apr-1947
PI+163422	08-Apr-1948
PI+163428	08-Apr-1948
PI+163571	Apr-1948
PI+164518	16-Apr-1948
PI+166863	23-Aug-1948
PI+167636	Sep-1948
PI+168480	Sep-1948
PI+168661	01-Sep-1948
PI+168724	01-Sep-1948
PI+168733	01-Sep-1948
PI+168789	11-Sep-1948
PI+168796	11-Sep-1948
PI+170907	Nov-1948
PI+170910	Nov-1948
PI+170924	Nov-1948
PI+172198	27-Dec-1948
PI+173488	Jan-1949
PI+175517	04-Mar-1949
PI+175518	04-Mar-1949
PI+176225	Mar-1949
PI+176325	Mar-1949
PI+177167	22-Mar-1949
PI+177172	22-Mar-1949
PI+178011	Mar-1949
PI+178705	30-Mar-1949
PI+178752	30-Mar-1949
PI+178755	30-Mar-1949
PI+180617	Apr-1949
PI+180640	Apr-1949
PI+181458	29-Apr-1949
PI+181472	29-Apr-1949
PI+182077	31-May-1949
PI+182094	31-May-1949
PI+182673	Jun-1949
PI+182751	07-Jun-1949
PI+184575	27-Sep-1949
PI+184598	27-Sep-1949
PI+184611	27-Sep-1949
PI+184631	27-Sep-1949
